Law,Index,LawName,CleanLaw
" 8965
 TÜRK CEZA KANUNU (1)
  Kanun Numarası : 5237
 Kabul Tarihi : 26/9/2004
 Yayımlandığı R.Gazete : Tarih : 12/10/2004 Sayı :25611
  Yayımlandığı Düstur : Tertip : 5 Cilt : 43
 BİRİNCİ KİTAP
 Genel Hükümler
 BİRİNCİ KISIM
 Temel İlkeler, Tanımlar ve Uygulama Alanı
 BİRİNCİ BÖLÜM
 Temel İlkeler ve Tanımlar
 Ceza Kanununun amacıi
 Madde 1- (1) Ceza Kanununun amacı; kişi hak ve özgürlüklerini, kamu düzen ve güvenliğni, hukuk devletini, kamu
 sağlığını ve çevreyi, toplum barışını korumak, suç işlenmesini önlemektir",1,Madde 1, türk ceza kanunu kanun numarası kabul tarihi yayımlandığı gazete tarih sayı yayımlandığı düstur tertip cilt birinci kitap genel hükümler birinci kısım temel ilkeler tanımlar uygulama alanı birinci bölüm temel ilkeler tanımlar ceza kanununun amacıi madde ceza kanununun amacı kişi hak özgürlüklerini kamu düzen güvenliğni hukuk devletini kamu sağlığını çevreyi toplum barışını korumak suç işlenmesini önlemektir
" Kanunda, bu amacın gerçekleştirilmesi için ceza
 sorumluluğunun temel esasları ile suçlar, ceza ve güvenlik tedbirlerinin türleri düzenlenmiştir",1,Madde 1, kanunda amacın gerçekleştirilmesi ceza sorumluluğunun temel esasları suçlar ceza güvenlik tedbirlerinin türleri düzenlenmiştir
"
 Suçta ve cezada kanunîlik ilkesi
 Madde 2- (1) Kanunun açıkça suç saymadığı bir fiil için kimseye ceza verilemez ve güvenlik tedbiri uygulanamaz",2,Madde 2, suçta cezada kanunîlik ilkesi madde kanunun suç saymadığı fiil kimseye ceza verilemez güvenlik tedbiri uygulanamaz
"
 Kanunda yazılı cezalardan ve güvenlik tedbirlerinden başka bir ceza ve güvenlik tedbirine hükmolunamaz",2,Madde 2, kanunda yazılı cezalardan güvenlik tedbirlerinden ceza güvenlik tedbirine hükmolunamaz
"
 (2) İdarenin düzenleyici işlemleriyle suç ve ceza konulamaz",2,Madde 2, idarenin düzenleyici işlemleriyle suç ceza konulamaz
"
 (3) Kanunların suç ve ceza içeren hükümlerinin uygulanmasında kıyas yapılamaz",2,Madde 2, kanunların suç ceza içeren hükümlerinin uygulanmasında kıyas yapılamaz
" Suç ve ceza içeren hükümler,
 kıyasa yol açacak biçimde geniş yorumlanamaz",2,Madde 2, suç ceza içeren hükümler kıyasa yol açacak biçimde geniş yorumlanamaz
"
 Adalet ve kanun önünde eşitlik ilkesi
 Madde 3- (1) Suç işleyen kişi hakkında işlenen fiilin ağırlığıyla orantılı ceza ve güvenlik tedbirine hükmolunur",3,Madde 3, adalet kanun önünde eşitlik ilkesi madde suç işleyen kişi hakkında işlenen fiilin ağırlığıyla orantılı ceza güvenlik tedbirine hükmolunur
"
 (2) Ceza Kanununun uygulamasında kişiler arasında ırk, dil, din, mezhep, milliyet, renk, cinsiyet, siyasal veya diğer
 fikir yahut düşünceleri, felsefi inanç, milli veya sosyal köken, doğum, ekonomik ve diğer toplumsal konumları yönünden
 ayrım yapılamaz ve hiçbir kimseye ayrıcalık tanınamaz",3,Madde 3, ceza kanununun uygulamasında kişiler arasında ırk dil din mezhep milliyet renk cinsiyet siyasal fikir düşünceleri felsefi inanç milli sosyal köken doğum ekonomik toplumsal konumları yönünden ayrım yapılamaz kimseye ayrıcalık tanınamaz
"
 Kanunun bağlayıcılığı
 Madde 4- (1) Ceza kanunlarını bilmemek mazeret sayılmaz",4,Madde 4, kanunun bağlayıcılığı madde ceza kanunlarını bilmemek mazeret sayılmaz
